"","","","",""
"","","","",""
"","Estadística como documento de Excel","","",""
"","Evolución anual de la tasa de inflación en Paraguay desde 2015 hasta 2025","","",""
"","Acceso a los datos","","",""
"","","","",""
"","","","",""
"","Referencias bibliográficas","","","Descripción"
"","","","","En 2016, la tasa de inflación promedio de Paraguay registró la cifra más alta en el último lustro, con más de 4%. Sin embargo, se prevé que a partir del 2022 la tasa de inflación del país sudamericano permanezca estable en un 3,31%. "
"","Fuente","FMI","",""
"","Realizada por","FMI","",""
"","Periodo de estudio","2015 - 2019","",""
"","Región","Paraguay","",""
"","Tipo de estudio","NA","",""
"","Número de encuestados","NA","",""
"","Grupo de edad","NA","",""
"","Particularidades","NA","",""
"","Notas","* Desde este periodo, las cifras son previsiones. Las cifras se han redondeado. En esta estadística se emplea un punto como símbolo para el separador de miles y una coma como símbolo para separador de decimales.","",""
"","","","",""
"","Publicación","","",""
"","","","",""
"","Publicada por","FMI","",""
"","Fecha de publicación","octubre 2020","",""
"","Fuente original","World Economic Outlook - Octubre 2020","",""
"","ID","1190104","",""
